posx:415.86|posy:30|posz:964.6|centerx:0|centery:0|centerz:1.143|sizex:2.330234|sizey:5.080001|sizez:2.330235|scalex:4|scaley:8.000011|scalez:4.000002|
posx:612.89|posy:29.99998|posz:842.27|centerx:2.689765|centery:0|centerz:9.420771|sizex:4.860642|sizey:21.74991|sizez:18.84154|scalex:1|scaley:3|scalez:2|
posx:1494|posy:30|posz:1791.068|centerx:-17.78829|centery:9.627803|centerz:2|sizex:2.879064|sizey:5.295494|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:15.01681|centery:7.440676|centerz:2|sizex:2.671631|sizey:0.9528793|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:17.78829|centery:9.619771|centerz:2|sizex:2.879064|sizey:5.311555|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:-17.78829|centery:-9.680741|centerz:2|sizex:2.879064|sizey:5.189617|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:-10.43769|centery:7.47827|centerz:2|sizex:2.438105|sizey:0.8712066|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:-0.001589457|centery:-13.14494|centerz:2|sizex:38.45094|sizey:1.710123|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:-6.392558|centery:-9.657047|centerz:2|sizex:5.651978|sizey:5.248775|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:-14.99459|centery:7.449405|centerz:2|sizex:2.711258|sizey:0.9302976|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:10.46305|centery:7.47629|centerz:2|sizex:2.638349|sizey:0.857442|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:6.335308|centery:-9.660381|centerz:2|sizex:5.630659|sizey:5.233475|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
posx:1494|posy:30|posz:1791.068|centerx:6.335308|centery:9.660381|centerz:2|sizex:5.630659|sizey:5.233475|sizez:4|scalex:3|scaley:1.500001|scalez:3.000002|
