x: 415.86, y: 30, z: 964.6
- x: 2.330234, y: 5.080001, z: 2.330235
x: 612.89, y: 29.99998, z: 842.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 1494, y: 30, z: 1791.068
- x: 2.671631, y: 1.000394, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.671631, y: 0.9528793, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.629438, y: 0.8582736, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.638349, y: 0.857442, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.711258, y: 0.8446831, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.711258, y: 0.9302976, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.438105, y: 0.8866981, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.438105, y: 0.8712066, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.630981, y: 0.8681002, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.631592, y: 0.8607575, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.485962, y: 0.8306755, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.468709, y: 0.8440333, z: 4
x: 1494, y: 30, z: 1791.068
- x: 5.630659, y: 5.233475, z: 4
x: 1494, y: 30, z: 1791.068
- x: 5.630659, y: 5.233475, z: 4
x: 1494, y: 30, z: 1791.068
- x: 5.651978, y: 5.248775, z: 4
x: 1494, y: 30, z: 1791.068
- x: 5.651978, y: 5.240964, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.879064, y: 5.295494, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.879064, y: 5.311555, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.879064, y: 5.352987, z: 4
x: 1494, y: 30, z: 1791.068
- x: 38.45163, y: 1.710123, z: 4
x: 1494, y: 30, z: 1791.068
- x: 38.45094, y: 1.710123, z: 4
x: 1494, y: 30, z: 1791.068
- x: 2.879064, y: 5.189617, z: 4
x: 728.1, y: 30, z: 1280
- x: 0.1315962, y: 1.150629, z: 0.1489947
x: 359.45, y: 29.99986, z: 240.15
- x: 4.860642, y: 21.74991, z: 18.84154
x: 493.4994, y: 29.99995, z: 737.99
- x: 4.860642, y: 21.74991, z: 18.84154
x: 1653.1, y: 30, z: 1764.968
- x: 1, y: 10, z: 5
x: 1653.1, y: 30, z: 1764.968
- x: 1, y: 10, z: 5
x: 1653.1, y: 30, z: 1764.968
- x: 13.3, y: 0.7, z: 5
x: 1653.1, y: 30, z: 1764.968
- x: 2.7, y: 0.5, z: 5
x: 1653.1, y: 30, z: 1764.968
- x: 2.5, y: 0.5, z: 5
x: 487.76, y: 30, z: 272
- x: 2.330234, y: 5.080001, z: 2.330235
x: 223.47, y: 30, z: 323
- x: 2.330234, y: 5.080001, z: 2.330235
x: 652.6, y: 30, z: 1280
- x: 0.1315962, y: 1.150629, z: 0.1489947
x: 129.07, y: 29.99984, z: 401.27
- x: 4.860642, y: 21.74991, z: 18.84154
x: 165.13, y: 29.99999, z: 1024.58
- x: 4.860642, y: 21.19564, z: 18.84154
x: 909.6, y: 29.99995, z: 746.4
- x: 4.860642, y: 21.74991, z: 18.84154
x: 555.2, y: 29.99987, z: 240.15
